country,year,lgaspcar,lincomep,lrpmg,lcarpcap
Austria,2001,1.391594166,10.07174061,-0.211956362,-0.654008035
Austria,2002,1.514229721,10.1492918,-0.193584749,-0.706779785
Austria,2003,1.520959345,10.34511739,-0.005012542,-0.694279162
Austria,2004,1.488272805,10.47522881,0.163818085,-0.687832935
Austria,2005,1.440834818,10.51575049,0.249980205,-0.683455071
Austria,2006,1.394472692,10.5719045,0.313349819,-0.677868758
Austria,2007,1.354081414,10.712499,0.428530381,-0.670471302
Austria,2008,1.235910804,10.81928262,0.569848964,-0.665592915
Austria,2009,1.232185088,10.72954465,0.501982194,-0.651488926
Belgium,2001,1.371996048,10.02284628,-0.103140759,-0.786620922
Belgium,2002,1.31710522,10.10483729,-0.080126044,-0.782505573
Belgium,2003,1.315636266,10.30836499,0.139761942,-0.776615293
Belgium,2004,1.217545597,10.4503475,0.348541961,-0.771357164
Belgium,2005,1.119238904,10.48962898,0.463734016,-0.768023265
Belgium,2006,0.920888576,10.53973636,0.529451088,-0.760738542
Belgium,2007,0.855537366,10.67020255,0.639746404,-0.752579674
Belgium,2008,0.881928713,10.76052064,0.755652386,-0.744391263
Belgium,2009,0.603863504,10.68170863,0.636081091,-0.737518467
Czech,2001,1.517189246,8.70346145,-0.329893921,-1.065346375
Czech,2002,1.495141589,8.905901078,-0.286349627,-1.028436269
Czech,2003,1.566091093,9.099829952,-0.125563223,-1.013152859
Czech,2004,1.530500987,9.280396891,0.038258712,-0.984872649
Czech,2005,1.478538925,9.408048037,0.173112618,-0.949976405
Czech,2006,1.420128519,9.540489948,0.270790205,-0.916057925
Czech,2007,1.421624521,9.737145796,0.374318379,-0.881482978
Czech,2008,1.34715724,9.943455246,0.574363645,-0.857241224
Czech,2009,1.348944294,9.807574931,0.482020426,-0.851725742
Denmark,2001,2.044145531,10.30895006,-0.014098924,-0.926252641
Denmark,2002,2.165432168,10.38560233,0.038258712,-1.043509915
Denmark,2003,2.164448013,10.58393458,0.222343231,-1.044987346
Denmark,2004,2.142210074,10.72194199,0.337899789,-1.037212635
Denmark,2005,2.085008427,10.77094705,0.409457129,-1.011066156
Denmark,2006,2.04165603,10.83078778,0.478095799,-0.987214059
Denmark,2007,2.014717142,10.95380949,0.58221562,-0.967982805
Denmark,2008,1.952344741,11.04066989,0.699626147,-0.962083683
Denmark,2009,1.882692091,10.93402785,0.699022328,-0.958487836
Finland,2001,1.963153028,10.08638611,-0.007024615,-0.88262851
Finland,2002,1.965174405,10.16805358,0.012916225,-0.869437058
Finland,2003,1.932627668,10.358648,0.212689093,-0.836062913
Finland,2004,1.919026548,10.49548221,0.348541961,-0.807677314
Finland,2005,1.881813044,10.52718125,0.408792898,-0.776002243
Finland,2006,1.843827668,10.58262929,0.47995396,-0.749325628
Finland,2007,1.810253137,10.7472437,0.575489137,-0.72153184
Finland,2008,1.652088166,10.84539248,0.732367894,-0.683359163
Finland,2009,1.600153447,10.71654003,0.679333806,-0.660313761
France,2001,1.372356201,10.02300916,-0.075801713,-0.723896205
France,2002,1.321161245,10.10036598,-0.044997366,-0.714834133
France,2003,1.242435333,10.30227726,0.138891999,-0.710499991
France,2004,1.178283085,10.42967886,0.276115436,-0.705134278
France,2005,1.112043299,10.46172862,0.366031039,-0.704264555
France,2006,1.042111569,10.5102427,0.439544422,-0.702194485
France,2007,0.986047683,10.6395057,0.555607767,-0.701878721
France,2008,0.891385395,10.72816743,0.68461085,-0.702462363
France,2009,0.850921384,10.64584928,0.634491266,-0.701429822
Germany,2001,1.671679631,10.03961878,-0.086647807,-0.617908209
Germany,2002,1.638178452,10.10498352,-0.012072581,-0.613877403
Germany,2003,1.579307512,10.29126895,0.21107097,-0.606123313
Germany,2004,1.537654961,10.40840486,0.344298673,-0.598022359
Germany,2005,1.457629104,10.42386057,0.418052224,-0.581824735
Germany,2006,1.538247167,10.47221858,0.480572581,-0.697247168
Germany,2007,1.474450106,10.60918095,0.608133806,-0.691922448
Germany,2008,1.444336859,10.70081809,0.718327479,-0.686686009
Germany,2009,1.423172052,10.60774021,0.673497771,-0.6771543
Greece,2001,2.125311641,9.388523293,-0.393042588,-1.165100005
Greece,2002,2.105028442,9.506466542,-0.36672528,-1.102629247
Greece,2003,2.081104391,9.780900056,-0.179126666,-1.042677217
Greece,2004,2.021063338,9.945612218,0.008959741,-0.967983538
Greece,2005,2.063559156,9.995870133,0.091667189,-0.971150023
Greece,2006,2.018077639,10.08291154,0.193920693,-0.919177805
Greece,2007,1.995505558,10.24028052,0.327143141,-0.856625651
Greece,2008,1.918194124,10.35162066,0.484276289,-0.805004988
Greece,2009,1.899861754,10.28630083,0.471551076,-0.787835484
Hungary,2001,1.578277003,8.563750197,-0.240798487,-1.435337414
Hungary,2002,1.521596912,8.789873752,-0.14618251,-1.351517823
Hungary,2003,1.466202708,9.021700778,0.037295785,-1.294007025
Hungary,2004,1.45759452,9.22536927,0.168053585,-1.273531518
Hungary,2005,1.469459597,9.296658701,0.266969031,-1.250433733
Hungary,2006,1.474388555,9.323033588,0.278389026,-1.226625597
Hungary,2007,1.485631007,9.52509987,0.41012092,-1.205488504
Hungary,2008,1.46245365,9.64696281,0.53180403,-1.189477266
Hungary,2009,1.479009823,9.460056368,0.499381175,-1.201637946
Ireland,2001,2.265661766,10.2218923,-0.228156093,-1.044852074
Ireland,2002,2.240412992,10.3629519,-0.215671536,-1.014778165
Ireland,2003,2.174602301,10.59807337,-0.016129382,-0.966508448
Ireland,2004,2.169067051,10.74235846,0.168898536,-0.954099128
Ireland,2005,2.164914412,10.80488052,0.256191405,-0.918481102
Ireland,2006,2.222043176,10.87434198,0.337899789,-0.907126308
Ireland,2007,2.095042886,11.00205734,0.424613927,-0.829914024
Ireland,2008,2.054435898,11.00046995,0.582774123,-0.859881386
Ireland,2009,1.962940539,10.82296961,0.574661872,-0.857486248
Italy,2001,1.494040774,9.884975252,-0.058688996,-0.547927535
Italy,2002,1.428046533,9.974068888,-0.012072581,-0.528128463
Italy,2003,1.371919035,10.17898816,0.1806535,-0.518153438
Italy,2004,1.322801561,10.30517269,0.335757696,-0.537890448
Italy,2005,1.235604375,10.32417921,0.415415439,-0.525052781
Italy,2006,1.153281203,10.36551121,0.477475644,-0.512739446
Italy,2007,1.08137482,10.48681105,0.575489137,-0.509285075
Italy,2008,0.975873449,10.56360813,0.701611259,-0.505107198
Italy,2009,0.909230611,10.47024379,0.65771978,-0.501342022
Japan,2001,1.939733929,10.3801666,-0.147340588,-0.864920951
Japan,2002,1.926767184,10.33384288,-0.183922838,-0.848753474
Japan,2003,1.921200061,10.40832926,-0.086647807,-0.838633701
Japan,2004,1.922840807,10.49290392,0.038258712,-0.824915896
Japan,2005,1.899848067,10.48102863,0.123102197,-0.805612462
Japan,2006,1.879367289,10.43852762,0.167207919,-0.797971349
Japan,2007,1.869641557,10.44196045,0.171429116,-0.796302781
Japan,2008,1.824071787,10.55099888,0.4167347,-0.791602859
Japan,2009,1.827433215,10.58301024,0.324020819,-0.787801597
Korea,2001,1.953699006,9.273767463,-0.008032172,-1.672860825
Korea,2002,1.884264302,9.400442415,0.013902905,-1.587317617
Korea,2003,1.772728015,9.506815794,0.083421608,-1.538162046
Korea,2004,1.70012448,9.617725037,0.175632569,-1.509220118
Korea,2005,1.676241705,9.772859313,0.332177312,-1.465127516
Korea,2006,1.639766326,9.888708529,0.447246642,-1.425762289
Korea,2007,1.64185021,9.982911946,0.494696242,-1.387467825
Korea,2008,1.614918056,9.860686309,0.431782416,-1.359335029
Korea,2009,1.617117074,9.747423802,0.319297542,-1.319864974
Luxembourg,2001,2.862571155,10.7322738,-0.341082849,-0.471654275
Luxembourg,2002,2.813152162,10.83551519,-0.316081547,-0.457269897
Luxembourg,2003,2.814576529,11.07758792,-0.128970381,-0.45252775
Luxembourg,2004,2.746932231,11.21943172,0.116893751,-0.470036374
Luxembourg,2005,2.951671858,11.30421511,0.2390169,-0.773601303
Luxembourg,2006,2.872644653,11.40977075,0.306013029,-0.787689624
Luxembourg,2007,2.811317865,11.58150337,0.429832465,-0.780143974
Luxembourg,2008,2.353289153,11.69135794,0.543486406,-0.395473241
Luxembourg,2009,2.288571893,11.57713408,0.446021972,-0.406639837
Netherlands,2001,1.617222294,10.12754712,0.027615167,-0.842495641
Netherlands,2002,1.636891312,10.21249191,0.075107472,-0.856873066
Netherlands,2003,1.598442134,10.41272046,0.270027137,-0.819317514
Netherlands,2004,1.568624749,10.53152853,0.441475546,-0.802263688
Netherlands,2005,1.562574001,10.57669074,0.518793793,-0.810553446
Netherlands,2006,1.565306456,10.63446072,0.573800423,-0.790749596
Netherlands,2007,1.537912628,10.77654209,0.692647056,-0.768411181
Netherlands,2008,1.544745305,10.88220978,0.809595993,-0.751487661
Netherlands,2009,1.540803176,10.78203737,0.74080598,-0.754213124
Poland,2001,1.334387665,8.512898583,-0.262664309,-1.311949363
Poland,2002,1.17491605,8.553428491,-0.245900538,-1.243115321
Poland,2003,1.122648531,8.643826019,-0.148500008,-1.223138276
Poland,2004,1.063497387,8.798856487,0.022739487,-1.15953217
Poland,2005,0.986366138,8.982774306,0.210260925,-1.10585572
Poland,2006,0.961728062,9.100304053,0.249201086,-1.047219746
Poland,2007,0.879669726,9.319846582,0.420025259,-0.960485949
Poland,2008,0.788263124,9.538683946,0.578297339,-0.863342922
Poland,2009,0.769028621,9.332242645,0.408748875,-0.838486684
Portugal,2001,1.547011003,9.368455298,-0.202116184,-1.053584222
Portugal,2002,1.503190308,9.458238583,-0.189950584,-0.981632625
Portugal,2003,1.451978719,9.651130409,0.086177696,-0.967986733
Portugal,2004,1.376521586,9.779352957,0.249201086,-0.940575363
Portugal,2005,1.291329258,9.808526882,0.353469813,-0.920989201
Portugal,2006,1.193003646,9.854307918,0.473123757,-0.903089195
Portugal,2007,1.120521662,9.994046965,0.594431208,-0.884819625
Portugal,2008,1.045394635,10.0790689,0.707543061,-0.879545131
Portugal,2009,1.029090334,10.00309761,0.650276913,-0.869398917
Slovakia,2001,1.386415579,8.275320591,-0.42159449,-1.425640223
Slovakia,2002,1.531171515,8.425465547,-0.40947313,-1.399682462
Slovakia,2003,1.426094365,8.731866895,-0.15665381,-1.377947702
Slovakia,2004,1.401606704,8.967576342,0.088010877,-1.441138222
Slovakia,2005,1.427281922,9.094071015,0.183154543,-1.4187792
Slovakia,2006,1.345746685,9.247808685,0.287432041,-1.396812987
Slovakia,2007,1.319852984,9.542278847,0.432431556,-1.325486027
Slovakia,2008,1.265536301,9.772382243,0.595534352,-1.217714739
Slovakia,2009,1.200404893,9.691993506,0.545525278,-1.209891308
Spain,2001,1.373283461,9.613878892,-0.32573014,-0.808011379
Spain,2002,1.308769319,9.729826783,-0.265268478,-0.790933186
Spain,2003,1.258824853,9.964116645,-0.080126044,-0.778020788
Spain,2004,1.193566596,10.11431092,0.076961041,-0.781441551
Spain,2005,1.13248204,10.17752903,0.170586301,-0.762243403
Spain,2006,1.048222056,10.24864171,0.246860078,-0.739810404
Spain,2007,0.977720166,10.38801929,0.348541961,-0.723887336
Spain,2008,0.872302328,10.47345633,0.481808675,-0.72130793
Spain,2009,0.827703849,10.37443664,0.472505677,-0.727646416
Sweden,2001,2.119762483,10.14768303,-0.089924708,-0.794459981
Sweden,2002,2.145298375,10.24319363,-0.043951888,-0.791808734
Sweden,2003,2.140729507,10.46587068,0.151862349,-0.786717027
Sweden,2004,2.131072746,10.60209037,0.30453919,-0.782078854
Sweden,2005,2.111618491,10.621272,0.382537603,-0.775898884
Sweden,2006,2.076202973,10.6907221,0.44404459,-0.770459026
Sweden,2007,2.055928083,10.83089435,0.544647172,-0.764637036
Sweden,2008,1.984925036,10.87291529,0.647103242,-0.767617497
Sweden,2009,2.025246275,10.67830495,0.598653844,-0.771452763
UK,2001,1.850811356,10.12227109,0.088010877,-0.754700758
UK,2002,1.820159404,10.21166227,0.09531018,-0.733734448
UK,2003,1.758224247,10.35064161,0.215917506,-0.719566095
UK,2004,1.690966621,10.51381691,0.384581897,-0.682275555
UK,2005,1.645228164,10.54264858,0.454889991,-0.675424329
UK,2006,1.605224646,10.60657147,0.518793793,-0.672972541
UK,2007,1.571012497,10.73896,0.635518068,-0.673150586
UK,2008,1.512259288,10.68399407,0.672944473,-0.675424058
UK,2009,1.469090626,10.47207073,0.555174229,-0.688921744
USA,2001,3.157814277,10.49306484,-0.916290732,-0.757766281
USA,2002,3.16743615,10.51732074,-0.967584026,-0.749645932
USA,2003,3.177206964,10.55384604,-0.825536369,-0.758349544
USA,2004,3.222415091,10.60661469,-0.663588378,-0.793978907
USA,2005,3.224999682,10.66027954,-0.468404908,-0.799861257
USA,2006,3.219173855,10.70885316,-0.348140041,-0.793460753
USA,2007,3.221449755,10.74650769,-0.263965546,-0.802115533
USA,2008,3.163385632,10.75579225,-0.115410852,-0.785721936
USA,2009,3.210726332,10.72213141,-0.321738022,-0.84086163

